,Date,Height_m
1233,2021-11-17 05:02:00,4.4
1234,2021-11-17 10:19:00,3.1
1235,2021-11-17 15:44:00,4.6
1236,2021-11-17 22:49:00,1.3
1237,2021-11-18 05:48:00,4.6
1238,2021-11-18 11:02:00,3.3
1239,2021-11-18 16:05:00,4.5
1240,2021-11-18 23:18:00,1.1
1241,2021-11-19 06:29:00,4.7
1242,2021-11-19 11:42:00,3.5
1243,2021-11-19 16:26:00,4.5
1244,2021-11-19 23:47:00,1.0
1245,2021-11-20 07:08:00,4.8
1246,2021-11-20 12:22:00,3.7
1247,2021-11-20 16:46:00,4.4
1248,2021-11-21 00:17:00,0.9
1249,2021-11-21 07:47:00,4.9
1250,2021-11-21 13:03:00,3.8
1251,2021-11-21 17:09:00,4.3
1252,2021-11-22 00:48:00,1.0
1253,2021-11-22 08:26:00,4.9
1254,2021-11-22 13:48:00,3.8
1255,2021-11-22 17:33:00,4.2
1256,2021-11-23 01:21:00,1.0
1257,2021-11-23 09:08:00,4.9
1258,2021-11-23 14:40:00,3.9
1259,2021-11-23 18:00:00,4.1
1260,2021-11-24 01:57:00,1.2
1261,2021-11-24 09:52:00,4.9
1262,2021-11-24 15:44:00,3.8
1263,2021-11-24 18:32:00,4.0
1264,2021-11-25 02:37:00,1.3
1265,2021-11-25 10:38:00,4.8
1266,2021-11-25 17:03:00,3.7
1267,2021-11-25 19:20:00,3.8
1268,2021-11-26 03:22:00,1.5
1269,2021-11-26 11:23:00,4.8
1270,2021-11-26 18:19:00,3.5
1271,2021-11-26 20:51:00,3.5
1272,2021-11-27 04:14:00,1.8
1273,2021-11-27 12:05:00,4.8
1274,2021-11-27 19:08:00,3.1
1275,2021-11-27 22:47:00,3.4
1276,2021-11-28 05:13:00,2.1
1277,2021-11-28 12:42:00,4.9
1278,2021-11-28 19:46:00,2.7
1279,2021-11-29 00:37:00,3.5
1280,2021-11-29 06:19:00,2.4
1281,2021-11-29 13:16:00,4.9
1282,2021-11-29 20:22:00,2.2
1283,2021-11-30 02:07:00,3.8
1284,2021-11-30 07:26:00,2.7
1285,2021-11-30 13:48:00,4.9
1286,2021-11-30 20:59:00,1.7
1287,2021-12-01 03:19:00,4.1
1288,2021-12-01 08:29:00,3.0
1289,2021-12-01 14:20:00,5.0
1290,2021-12-01 21:38:00,1.2
1291,2021-12-02 04:22:00,4.5
1292,2021-12-02 09:27:00,3.3
1293,2021-12-02 14:54:00,5.0
1294,2021-12-02 22:19:00,0.7
1295,2021-12-03 05:20:00,4.8
1296,2021-12-03 10:23:00,3.5
1297,2021-12-03 15:30:00,5.0
1298,2021-12-03 23:01:00,0.3
1299,2021-12-04 06:15:00,5.1
1300,2021-12-04 11:19:00,3.7
1301,2021-12-04 16:09:00,5.0
1302,2021-12-04 23:45:00,0.1
1303,2021-12-05 07:08:00,5.2
1304,2021-12-05 12:15:00,3.8
1305,2021-12-05 16:52:00,4.9
1306,2021-12-06 00:30:00,0.0
1307,2021-12-06 08:00:00,5.3
1308,2021-12-06 13:15:00,3.8
1309,2021-12-06 17:38:00,4.8
1310,2021-12-07 01:17:00,0.2
1311,2021-12-07 08:51:00,5.4
1312,2021-12-07 14:20:00,3.8
1313,2021-12-07 18:29:00,4.5
1314,2021-12-08 02:04:00,0.4
1315,2021-12-08 09:42:00,5.3
1316,2021-12-08 15:32:00,3.6
1317,2021-12-08 19:28:00,4.2
1318,2021-12-09 02:53:00,0.8
1319,2021-12-09 10:32:00,5.3
1320,2021-12-09 16:51:00,3.4
1321,2021-12-09 20:42:00,3.8
1322,2021-12-10 03:44:00,1.3
1323,2021-12-10 11:19:00,5.2
1324,2021-12-10 18:08:00,3.0
1325,2021-12-10 22:18:00,3.6
1326,2021-12-11 04:40:00,1.9
1327,2021-12-11 12:04:00,5.1
1328,2021-12-11 19:11:00,2.6
1329,2021-12-12 00:12:00,3.5
1330,2021-12-12 05:41:00,2.4
1331,2021-12-12 12:43:00,5.0
1332,2021-12-12 19:59:00,2.2
1333,2021-12-13 01:58:00,3.6
1334,2021-12-13 06:50:00,2.9
1335,2021-12-13 13:19:00,4.9
1336,2021-12-13 20:39:00,1.8
1337,2021-12-14 03:21:00,4.0
1338,2021-12-14 07:59:00,3.3
1339,2021-12-14 13:49:00,4.7
1340,2021-12-14 21:14:00,1.5
1341,2021-12-15 04:23:00,4.3
1342,2021-12-15 09:03:00,3.5
1343,2021-12-15 14:17:00,4.6
1344,2021-12-15 21:47:00,1.2
1345,2021-12-16 05:11:00,4.6
1346,2021-12-16 09:59:00,3.7
1347,2021-12-16 14:44:00,4.5
1348,2021-12-16 22:18:00,1.1
